ID Progetto,File,Indirizzo,Imprese,Valore Stimato
455432,"TRENTINO, FRIULI, EMILIA, TOSCVANA, MARCHE ",Via Cardinale Maculani  29121 Piacenza ( PC ),GRM Srl,4833000
455477,"PIEMONTE, LIGURIA, VENETO (1)",Via Giovanni Paolo I  32100 Belluno ( BL ),Terna Costruzioni srl,4052000
455746,LOMBARDIA X FEDE,Via G.Galli 1  20832 Desio ( MB ),Consorzio Stabile RCR,871000
455789,"TRENTINO, FRIULI, EMILIA, TOSCVANA, MARCHE ",Via Costa 106  47822 Santarcangelo di Romagna ( RN ),Zanon Prefabbricati,5000000
456020,LOMBARDIA X FEDE,Via Lorenzini 8  20139 Milano ( MI ),Carron SpA,20000000
456517,"TRENTINO, FRIULI, EMILIA, TOSCVANA, MARCHE ",Via Kennedy 47  40068 San Lazzaro di Savena ( BO ),Capogruppo ATI; Effe-Gi Impianti Srl; Wood Beton SpA,5648000
456629,LOMBARDIA X FEDE,P.za I Maggio  20099 Sesto San Giovanni ( MI ),Cimolai SpA,14673000
456942,LOMBARDIA X FEDE,Via Manara  20900 Monza ( MB ),Edilvit srl,12800000
457372,"PIEMONTE, LIGURIA, VENETO (1)",Via Sicilia 11  37045 Legnago ( VR ),Aflutec srl; Capogruppo ATI,4392000
457444,"PIEMONTE, LIGURIA, VENETO (1)",Fr. San Chiaffredo   12022 Busca ( CN ),Fratelli Bottano srl,4222000
458211,LOMBARDIA X FEDE,Scalo Porta Romana   20139 Milano ( MI ),CCL Consorzio Coop Lavoratori; CEV SpA; Fondamenta SpA; Grassi & Crespi srl,50000000
458363,LOMBARDIA X FEDE,Via Valvassori Peroni  20133 Milano ( MI ),ITI Impresa Generale SpA,8513000
458544,"PIEMONTE, LIGURIA, VENETO (1)",Via Sabazia   17047 Vado Ligure ( SV ),Capogruppo ATI; Edilco srl Edilizia Coordinata; Terra Costruzioni srl,4043000
458776,LOMBARDIA X FEDE,V.le Suzzani 96  20162 Milano ( MI ),Proedil srl,
458795,"TRENTINO, FRIULI, EMILIA, TOSCVANA, MARCHE ",via dell'Artigianato  60127 Ancona ( AN ),DADE srl,3050000
458888,LOMBARDIA X FEDE,Ex S.S.11  20011 Corbetta ( MI ),MAPE Costruzioni Edili srl,7000000
459252,LOMBARDIA X FEDE,Via IV Novembre  26013 Crema ( CR ),Devi Impianti srl,2452000
459380,"PIEMONTE, LIGURIA, VENETO (1)",Via Bergamo  10036 Settimo Torinese ( TO ),Bonarrigo Costruzioni srl,1800000
459391,LOMBARDIA X FEDE,Via Santa Margherita  20861 Brugherio ( MB ),Staff Costruzioni srl,5000000
459429,"PIEMONTE, LIGURIA, VENETO (1)",Via Giuseppe Verdi 9  10124 Torino ( TO ),Alma CIS srl; Capogruppo ATI; Consorzio San Luca srl,3000000
459540,"PIEMONTE, LIGURIA, VENETO (1)",Via Cavour  35020 Ponte San Nicolò ( PD ),Galiazzo Fratelli Costruzioni srl,1500000
459556,"TRENTINO, FRIULI, EMILIA, TOSCVANA, MARCHE ",Via Dante 27  39031 Brunico ( BZ ),Elpo srl; Schmidhammer srl; Unionbau SpA + Wipptaler Bau SpA,9029000
459989,"TRENTINO, FRIULI, EMILIA, TOSCVANA, MARCHE ",Via Peruzzi 7  41012 Carpi ( MO ),Batea Soc. Cooperativa di Lavoro; Capogruppo ATI,1880000
460164,LOMBARDIA X FEDE,P.za del Collegio Borromeo  27100 Pavia ( PV ),Damiani Costruzioni srl,6000000
460365,LOMBARDIA X FEDE,Via Alfieri  23890 Barzago ( LC ),Gervasoni Bruno srl; Idraulica Gritti srl,626000
460655,"PIEMONTE, LIGURIA, VENETO (1)",VIa XXI Luglio  19038 Sarzana ( SP ),Arkeo Restauri srl,2704000
460962,LOMBARDIA X FEDE,Via Rovello 14  20121 Milano ( MI ),SMV Costruzioni srl,15000000
