Blocco,Ordine,ID Progetto,Indirizzo,Impresa,Tempo cumulato (s)
1,98,534204,Via Udine 8  35042 Este ( PD ),Tognetto srl; aggiudicato all'impresa segnalata che ha offerto; assegnato,169219
1,99,486094,Via Chiesa Prà 53  35042 Este ( PD ),Atheste Costruzioni srl; aggiudicato all'impresa segnalata che ha offerto il ribasso del 6%.; assegnato,170617
1,100,486107,Via San Girolamo  35042 Este ( PD ),Ruffato Mario srl; aggiudicato all'impresa segnalata che ha offerto il; assegnato,172212
1,101,519033,Via Oroboni  45100 Rovigo ( RO ),Consorzio Innova Società Cooperativa,175234
1,102,503994,Via W. Ferrari 30  45100 Rovigo ( RO ),Milan Luigi srl,176599
1,103,503993,Via Scarlatti 2  45100 Rovigo ( RO ),Barzon Costruzioni Generali; aggiudicato; assegnato,177983
1,104,519032,Via Oroboni 6  45100 Rovigo ( RO ),ITEC srl Costruzioni Generali,179619
1,105,500059,Via della Pace  45010 Villadose ( RO ),Edilcos Costruzioni srl,181606
1,106,478145,Via Cavour  30014 Cavarzere ( VE ),Capogruppo ATI; Erre Costruzioni srl; Sogedico srl; integrato; integrato aggiudicato alle imprese segnalate riunite in ATI.,184438
1,107,536695,Via Papa Giovanni XXIII 67  30015 Chioggia ( VE ),Rossi Mauro srl; assegnato,186808
1,108,523433,"Via Luigi Savoia, 5-7  45014 Porto Viro ( RO )",Panizzo srl,189285
1,109,496384,Via Sacco e Vanzetti  44021 Codigoro ( FE ),Cires Società Cooperativa; Consorzio Integra Società Cooperativa; Seep Bo srl,192379
1,110,496932,Via Rodolfo Morandi 1  44023 Lagosanto ( FE ),P & C Costruzioni srl; Rico Costruzioni srl; integrato,194408
1,111,527636,Via della Fontana  44022 Comacchio ( FE ),Classe A srl,196266
1,112,493748,Via Risorgimento  44022 Comacchio ( FE ),Alco Costruzioni srl,197892
1,113,493747,Via Tine  44022 Comacchio ( FE ),Cires Società Cooperativa; Consorzio Integra Società Cooperativa; Seep Bo srl; assegnato,199389
1,114,516711,via Abeti 22  44022 Comacchio ( FE ),Albieri srl,201212
1,115,496942,Via Lorenzini 1  44020 Ostellato ( FE ),Medil srl Costruzioni Generali,204091
1,116,499108,Via San Leo 10  44019 Voghiera ( FE ),Medil srl Costruzioni Generali; assegnato,205884
1,117,496946,Via Roma 39  44015 Portomaggiore ( FE ),Alco Costruzioni srl,207785
