Blocco,Ordine,ID Progetto,Indirizzo,Impresa,Tempo cumulato (s),Parte,Link Google Maps,Ultima,Descrizione
1,42,488911,Via San Francesco  35020 Ponte San Nicolò ( PD ),Scapin Costruzioni srl,76896,5,"=HYPERLINK(""https://www.google.com/maps/dir/45.3640416%2C11.9099118/45.3616573%2C11.9374784/45.3497754%2C11.8819131/45.3458096%2C11.8721954/45.3496869%2C11.847716/45.3369134%2C11.9034182/45.3139501%2C11.9481531/45.2901419%2C12.0275577/45.3035289%2C12.0352019/45.2922868%2C12.0345921"", ""Blocco 1 Parte 5"")",,
1,43,529055,Via Torino  35020 Albignasego ( PD ),CPR srl + LG Costruzioni srl,78764,5,"=HYPERLINK(""https://www.google.com/maps/dir/45.3640416%2C11.9099118/45.3616573%2C11.9374784/45.3497754%2C11.8819131/45.3458096%2C11.8721954/45.3496869%2C11.847716/45.3369134%2C11.9034182/45.3139501%2C11.9481531/45.2901419%2C12.0275577/45.3035289%2C12.0352019/45.2922868%2C12.0345921"", ""Blocco 1 Parte 5"")",,
1,44,527815,Via Milano  35020 Albignasego ( PD ),Immobiliare Barison Srl,80081,5,"=HYPERLINK(""https://www.google.com/maps/dir/45.3640416%2C11.9099118/45.3616573%2C11.9374784/45.3497754%2C11.8819131/45.3458096%2C11.8721954/45.3496869%2C11.847716/45.3369134%2C11.9034182/45.3139501%2C11.9481531/45.2901419%2C12.0275577/45.3035289%2C12.0352019/45.2922868%2C12.0345921"", ""Blocco 1 Parte 5"")",,
1,45,509281,Via Manzoni   35020 Albignasego ( PD ),Aquarius Immobiliare srl,81529,5,"=HYPERLINK(""https://www.google.com/maps/dir/45.3640416%2C11.9099118/45.3616573%2C11.9374784/45.3497754%2C11.8819131/45.3458096%2C11.8721954/45.3496869%2C11.847716/45.3369134%2C11.9034182/45.3139501%2C11.9481531/45.2901419%2C12.0275577/45.3035289%2C12.0352019/45.2922868%2C12.0345921"", ""Blocco 1 Parte 5"")",,
1,46,511389,Via Risorgimento  35020 Albignasego ( PD ),New Costruzioni srl,83263,5,"=HYPERLINK(""https://www.google.com/maps/dir/45.3640416%2C11.9099118/45.3616573%2C11.9374784/45.3497754%2C11.8819131/45.3458096%2C11.8721954/45.3496869%2C11.847716/45.3369134%2C11.9034182/45.3139501%2C11.9481531/45.2901419%2C12.0275577/45.3035289%2C12.0352019/45.2922868%2C12.0345921"", ""Blocco 1 Parte 5"")",,
1,47,521922,V.lo G. Visentin  35020 Albignasego ( PD ),Valverde Imm.re srl,85058,5,"=HYPERLINK(""https://www.google.com/maps/dir/45.3640416%2C11.9099118/45.3616573%2C11.9374784/45.3497754%2C11.8819131/45.3458096%2C11.8721954/45.3496869%2C11.847716/45.3369134%2C11.9034182/45.3139501%2C11.9481531/45.2901419%2C12.0275577/45.3035289%2C12.0352019/45.2922868%2C12.0345921"", ""Blocco 1 Parte 5"")",,
1,48,534158,Loc. Via Claudio Rossi  35028 Piove di Sacco ( PD ),Eurocostruzioni srl,86959,5,"=HYPERLINK(""https://www.google.com/maps/dir/45.3640416%2C11.9099118/45.3616573%2C11.9374784/45.3497754%2C11.8819131/45.3458096%2C11.8721954/45.3496869%2C11.847716/45.3369134%2C11.9034182/45.3139501%2C11.9481531/45.2901419%2C12.0275577/45.3035289%2C12.0352019/45.2922868%2C12.0345921"", ""Blocco 1 Parte 5"")",,
1,49,534196,Via D'Annunzio  35028 Piove di Sacco ( PD ),Beni Immobiliari srl,88498,5,"=HYPERLINK(""https://www.google.com/maps/dir/45.3640416%2C11.9099118/45.3616573%2C11.9374784/45.3497754%2C11.8819131/45.3458096%2C11.8721954/45.3496869%2C11.847716/45.3369134%2C11.9034182/45.3139501%2C11.9481531/45.2901419%2C12.0275577/45.3035289%2C12.0352019/45.2922868%2C12.0345921"", ""Blocco 1 Parte 5"")",,
1,50,505109,Via San Francesco  35028 Piove di Sacco ( PD ),Lasa F.lli Nata srl,89984,5,"=HYPERLINK(""https://www.google.com/maps/dir/45.3640416%2C11.9099118/45.3616573%2C11.9374784/45.3497754%2C11.8819131/45.3458096%2C11.8721954/45.3496869%2C11.847716/45.3369134%2C11.9034182/45.3139501%2C11.9481531/45.2901419%2C12.0275577/45.3035289%2C12.0352019/45.2922868%2C12.0345921"", ""Blocco 1 Parte 5"")",,
1,51,468109,Via Don Lorenzo Milani  35020 Arzergrande ( PD ),Edil Ciemme srl,91679,6,"=HYPERLINK(""https://www.google.com/maps/dir/45.2749243%2C12.0754167/45.1399718%2C12.085654/45.2111481%2C11.8335549/45.2150113%2C11.7594241/45.2444178%2C11.7429146/45.3263901%2C11.7902316/45.362302%2C11.7939847/45.3852811%2C11.7905623/45.3904355%2C11.7624383/45.4150499%2C11.8096818"", ""Blocco 1 Parte 6"")",,
1,52,478145,Via Cavour  30014 Cavarzere ( VE ),Capogruppo ATI; Erre Costruzioni srl; Sogedico srl; integrato; integrato aggiudicato alle imprese segnalate riunite in ATI.,94114,6,"=HYPERLINK(""https://www.google.com/maps/dir/45.2749243%2C12.0754167/45.1399718%2C12.085654/45.2111481%2C11.8335549/45.2150113%2C11.7594241/45.2444178%2C11.7429146/45.3263901%2C11.7902316/45.362302%2C11.7939847/45.3852811%2C11.7905623/45.3904355%2C11.7624383/45.4150499%2C11.8096818"", ""Blocco 1 Parte 6"")",,
1,53,523874,P.za Martiri della Libertà 6  35020 Tribano ( PD ),Battistella Costruzioni srl,96865,6,"=HYPERLINK(""https://www.google.com/maps/dir/45.2749243%2C12.0754167/45.1399718%2C12.085654/45.2111481%2C11.8335549/45.2150113%2C11.7594241/45.2444178%2C11.7429146/45.3263901%2C11.7902316/45.362302%2C11.7939847/45.3852811%2C11.7905623/45.3904355%2C11.7624383/45.4150499%2C11.8096818"", ""Blocco 1 Parte 6"")",,
1,54,535705,Via San Bortolo  35043 Monselice ( PD ),Battistella Costruzioni srl,98563,6,"=HYPERLINK(""https://www.google.com/maps/dir/45.2749243%2C12.0754167/45.1399718%2C12.085654/45.2111481%2C11.8335549/45.2150113%2C11.7594241/45.2444178%2C11.7429146/45.3263901%2C11.7902316/45.362302%2C11.7939847/45.3852811%2C11.7905623/45.3904355%2C11.7624383/45.4150499%2C11.8096818"", ""Blocco 1 Parte 6"")",,
1,55,525345,Via San Leopoldo Mandic  35012 Camposampiero ( PD ),Immobiliare Rialto srl,100250,6,"=HYPERLINK(""https://www.google.com/maps/dir/45.2749243%2C12.0754167/45.1399718%2C12.085654/45.2111481%2C11.8335549/45.2150113%2C11.7594241/45.2444178%2C11.7429146/45.3263901%2C11.7902316/45.362302%2C11.7939847/45.3852811%2C11.7905623/45.3904355%2C11.7624383/45.4150499%2C11.8096818"", ""Blocco 1 Parte 6"")",,
